,Disease,Description,Symptoms,Symptoms+Description
0,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
1,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
2,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
3,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
4,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
5,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
6,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
7,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
8,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
9,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
10,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
11,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
12,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
13,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
14,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
15,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
16,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
17,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
18,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
19,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
20,Drug Reaction,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs.,"itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,adverse drug reaction (adr) injury caused taking medication. adrs may occur following single dose prolonged administration drug result combination two drugs."
